address,weekly price,number of bedrooms,number of bathrooms,number of parking,Property_Features,number_of_schools,distance to the closest schools(meters)
Mawson,960.0,4,2,4,Pets Allowed,13,401
Belconnen,480.0,1,1,1,Pets Allowed,10,366
Griffith,100.0,3,2,2,Ensuite,15,758
Braddon,640.0,2,2,1,Secure Parking,13,790
Red Hill,820.0,3,2,2,Ensuite,14,427
Weston,700.0,3,1,2,Secure Parking,14,1104
Franklin,460.0,1,1,1,Secure Parking,11,908
nan,550.0,1,1,2,Air conditioning,13,808
Palmerston,nan,4,2,2,nan,12,174
Greenway,540.0,2,2,2,Air conditioning,12,1085
Phillip,550.0,2,2,1,Air conditioning,16,508
Evatt,630.0,3,2,0,Energy Eff. Rating: 1,12,232
Mawson,899.0,3,3,2,nan,13,420
Griffith,550.0,2,1,1,Air conditioning,15,231
City,590.0,1,1,1,Secure Parking,13,1333
Casey,565.0,2,1,1,Secure Parking,10,1443
Yarralumla,460.0,1,1,1,nan,14,138
City,900.0,3,2,2,Ensuite,13,1310
Yarralumla,750.0,3,1,2,Air conditioning,14,169
Kingston,720.0,3,2,2,nan,15,692
Hackett,460.0,2,1,1,nan,13,211
City,550.0,1,1,1,Secure Parking,12,1844
Bruce,720.0,3,2,2,nan,12,765
Dickson,465.0,2,1,1,nan,14,328
Hughes,550.0,3,2,1,Energy Eff. Rating: 0.5,13,793
City,875.0,1,1,1,nan,13,1823
Belconnen,595.0,2,2,2,Air conditioning,12,1020
Dickson,695.0,1,1,1,Air conditioning,14,508
Yarralumla,50.0,3,2,2,Secure Parking,14,516
Coombs,665.0,3,3,2,Air conditioning,9,208
Phillip,650.0,2,2,1,Air conditioning,14,458
Watson,520.0,2,2,2,Energy Eff. Rating: 5,14,1073
Lyneham,nan,3,2,1,nan,13,382
Kaleen,720.0,3,1,4,Secure Parking,12,379
Aranda,880.0,4,3,2,Air conditioning,10,391
Downer,690.0,3,1,1,Energy Eff. Rating: 2.5,13,1120
Belconnen,540.0,2,1,1,Built in wardrobes,10,735
Campbell,nan,1,1,1,Built in wardrobes,13,112
Gungahlin,620.0,2,1,1,Secure Parking,12,363
Gungahlin,640.0,3,2,1,Secure Parking,11,493
Braddon,550.0,1,1,1,Air conditioning,13,765
Lyneham,490.0,2,1,1,Energy Eff. Rating: 6,12,490
Griffith,590.0,2,2,1,nan,15,690
Gungahlin,590.0,2,2,1,nan,11,578
Wright,950.0,4,3,2,nan,7,1586
Lawson,600.0,2,3,2,nan,12,873
Phillip,650.0,1,1,1,Air conditioning,14,547
Phillip,590.0,2,2,1,Air conditioning,14,458
Campbell,530.0,1,1,1,Energy Eff. Rating: 6,13,630
Phillip,440.0,1,1,1,Intercom,14,547
Casey,570.0,2,1,1,nan,10,1505
Phillip,515.0,2,1,1,Intercom,14,547
Braddon,650.0,2,2,2,Secure Parking,13,701
Phillip,520.0,2,1,1,Energy Eff. Rating: 4.5,14,711
City,570.0,1,1,1,Balcony,13,1989
Gungahlin,770.0,4,3,2,Secure Parking,10,868
Campbell,550.0,1,1,1,nan,13,636
Holt,595.0,3,1,2,nan,10,402
Duffy,900.0,5,3,3,nan,10,956
Narrabundah,nan,2,1,1,Built in wardrobes,14,898
Narrabundah,515.0,3,1,1,nan,15,562
Holder,600.0,4,1,1,nan,11,689
Belconnen,460.0,1,1,1,Pets Allowed,10,366
Braddon,550.0,1,1,1,Energy Eff. Rating: 6,13,593
Mawson,1100.0,4,3,2,Pets Allowed,13,430
Phillip,580.0,2,1,1,Air conditioning,14,547
Griffith,500.0,2,1,1,nan,15,238
Taylor,495.0,1,1,1,Pets Allowed,10,236
Phillip,500.0,1,1,1,Energy Eff. Rating: 6,14,547
Campbell,950.0,3,2,2,Secure Parking,13,670
Moncrieff,650.0,3,2,2,nan,8,244
Dickson,700.0,2,2,1,Air conditioning,14,454
City,680.0,2,2,2,Pets Allowed,12,1844
Belconnen,nan,3,2,1,nan,10,730
Phillip,600.0,2,1,2,Air conditioning,14,547
Coombs,590.0,2,2,2,Secure Parking,10,408
Phillip,480.0,1,1,1,Secure Parking,14,547
Phillip,650.0,2,2,2,Intercom,14,547
Hawker,480.0,2,1,1,Built in wardrobes,11,310
Crace,730.0,4,2,2,Secure Parking,10,1201
Griffith,700.0,2,2,2,nan,15,520
Phillip,620.0,3,2,2,Built in wardrobes,13,596
Belconnen,630.0,2,2,2,Secure Parking,10,366
Gungahlin,625.0,3,2,1,Energy Eff. Rating: 5,11,117
Barton,600.0,1,1,1,Furnished,14,785
Garran,720.0,3,2,2,nan,13,404
Braddon,520.0,1,1,1,Energy Eff. Rating: 6,13,472
Kingston,690.0,2,1,1,Air conditioning,15,1099
Phillip,485.0,2,1,1,Air conditioning,16,494
Ngunnawal,600.0,3,2,2,Pets Allowed,11,1008
Phillip,230.0,1,1,1,Air conditioning,14,399
Bonner,640.0,3,2,2,Energy Eff. Rating: 4.5,9,274
Conder,530.0,3,1,0,nan,7,297
Wright,470.0,1,1,1,nan,10,578
Scullin,575.0,3,1,1,Garden / Courtyard,13,926
Taylor,725.0,4,2,2,nan,10,360
Taylor,425.0,5,3,3,Dishwasher,10,1198
Gungahlin,470.0,1,1,1,Energy Eff. Rating: 6,11,452
Wanniassa,695.0,3,2,2,nan,13,411
Denman Prospect,620.0,2,2,2,Energy Eff. Rating: 6,7,782
Harrison,nan,2,1,1,nan,9,853
Phillip,450.0,1,1,1,nan,16,494
Barton,630.0,1,1,1,Air conditioning,14,181
Kingston,295.0,2,2,1,Air conditioning,15,521
Belconnen,470.0,1,1,1,Balcony,10,325
Ngunnawal,595.0,3,1,2,Air conditioning,10,906
Fisher,580.0,3,1,2,nan,13,860
