address,price,bedrooms,bathrooms,parking,Property_Features,number_of_schools,closest_school
Braddon,640,2,2,1,Secure Parking,13,790 
Red Hill,820,3,2,2,Ensuite,14,427 
Weston,700,3,1,2,Secure Parking,14,1104 
Franklin,460,1,1,1,Secure Parking,11,908 
O'Malley,550,1,1,2,Air conditioning,13,808 
Palmerston,nan,4,2,2,nan,12,174 
Greenway,540,2,2,2,Air conditioning,12,1085 
Phillip,550,2,2,1,Air conditioning,16,508 
Evatt,630,3,2,0,Energy Eff. Rating: 1,12,232 
Mawson,899,3,3,2,nan,13,420 
Griffith,550,2,1,1,Air conditioning,15,231 
City,590,1,1,1,Secure Parking,13,1333 
Casey,565,2,1,1,Secure Parking,10,1443 
Yarralumla,460,1,1,1,nan,14,138 
City,900,3,2,2,Ensuite,13,1310 
Yarralumla,750,3,1,2,Air conditioning,14,169 
Kingston,720,3,2,2,nan,15,692 
Hackett,460,2,1,1,nan,13,211 
City,550,1,1,1,Secure Parking,12,1844 
Bruce,720,3,2,2,nan,12,765 
Dickson,465,2,1,1,nan,14,328 
Hughes,550,3,2,1,Energy Eff. Rating: 0.5,13,793 
City,875,1,1,1,nan,13,1823 
Belconnen,595,2,2,2,Air conditioning,12,1020 
Dickson,695,1,1,1,Air conditioning,14,508 
Yarralumla,nan,3,2,2,Secure Parking,14,516 
Coombs,665,3,3,2,Air conditioning,9,208 
Phillip,650,2,2,1,Air conditioning,14,458 
Watson,520,2,2,2,Energy Eff. Rating: 5,14,1073 
Lyneham,nan,3,2,1,nan,13,382 
Kaleen,720,3,1,4,Secure Parking,12,379 
Aranda,880,4,3,2,Air conditioning,10,391 
Downer,690,3,1,1,Energy Eff. Rating: 2.5,13,1120 
Belconnen,540,2,1,1,Built in wardrobes,10,735 
Campbell,nan,1,1,1,Built in wardrobes,13,112 
Gungahlin,620,2,1,1,Secure Parking,12,363 
Gungahlin,640,3,2,1,Secure Parking,11,493 
Braddon,550,1,1,1,Air conditioning,13,765 
Lyneham,490,2,1,1,Energy Eff. Rating: 6,12,490 
Griffith,590,2,2,1,nan,15,690 
Gungahlin,590,2,2,1,nan,11,578 
Wright,950,4,3,2,nan,7,1586 
Lawson,600,2,3,2,nan,12,873 
Phillip,650,1,1,1,Air conditioning,14,547 
Phillip,590,2,2,1,Air conditioning,14,458 
Campbell,530,1,1,1,Energy Eff. Rating: 6,13,630 
Phillip,440,1,1,1,Intercom,14,547 
Casey,570,2,1,1,nan,10,1505 
Phillip,515,2,1,1,Intercom,14,547 
Braddon,650,2,2,2,Secure Parking,13,701 
Phillip,520,2,1,1,Energy Eff. Rating: 4.5,14,711 
City,570,1,1,1,Balcony,13,1989 
Gungahlin,770,4,3,2,Secure Parking,10,868 
Campbell,550,1,1,1,nan,13,636 
Holt,595,3,1,2,nan,10,402 
Duffy,900,5,3,3,nan,10,956 
Narrabundah,nan,2,1,1,Built in wardrobes,14,898 
Narrabundah,515,3,1,1,nan,15,562 
Holder,600,4,1,1,nan,11,689 
Belconnen,460,1,1,1,Pets Allowed,10,366 
Braddon,550,1,1,1,Energy Eff. Rating: 6,13,593 
Mawson,1100,4,3,2,Pets Allowed,13,430 
Phillip,580,2,1,1,Air conditioning,14,547 
Griffith,500,2,1,1,nan,15,238 
Taylor,495,1,1,1,Pets Allowed,10,236 
Phillip,500,1,1,1,Energy Eff. Rating: 6,14,547 
Campbell,950,3,2,2,Secure Parking,13,670 
Moncrieff,650,3,2,2,nan,8,244 
Dickson,700,2,2,1,Air conditioning,14,454 
City,680,2,2,2,Pets Allowed,12,1844 
Belconnen,nan,3,2,1,nan,10,730 
Phillip,600,2,1,2,Air conditioning,14,547 
Coombs,590,2,2,2,Secure Parking,10,408 
Phillip,480,1,1,1,Secure Parking,14,547 
Phillip,650,2,2,2,Intercom,14,547 
Hawker,480,2,1,1,Built in wardrobes,11,310 
Crace,730,4,2,2,Secure Parking,10,1201 
Griffith,700,2,2,2,nan,15,520 
Phillip,620,3,2,2,Built in wardrobes,13,596 
Belconnen,630,2,2,2,Secure Parking,10,366 
Gungahlin,625,3,2,1,Energy Eff. Rating: 5,11,117 
Barton,600,1,1,1,Furnished,14,785 
Garran,720,3,2,2,nan,13,404 
Braddon,520,1,1,1,Energy Eff. Rating: 6,13,472 
Kingston,690,2,1,1,Air conditioning,15,1099 
Phillip,390,2,1,1,Air conditioning,16,494 
Ngunnawal,600,3,2,2,Pets Allowed,11,1008 
Phillip,460,1,1,1,Air conditioning,14,399 
Bonner,640,3,2,2,Energy Eff. Rating: 4.5,9,274 
Conder,530,3,1,0,nan,7,297 
Wright,470,1,1,1,nan,10,578 
Scullin,575,3,1,1,Garden / Courtyard,13,926 
Taylor,725,4,2,2,nan,10,360 
Taylor,850,5,3,3,Dishwasher,10,1198 
Gungahlin,470,1,1,1,Energy Eff. Rating: 6,11,452 
Wanniassa,695,3,2,2,nan,13,411 
Denman Prospect,620,2,2,2,Energy Eff. Rating: 6,7,782 
Harrison,nan,2,1,1,nan,9,853 
Phillip,450,1,1,1,nan,16,494 
Barton,630,1,1,1,Air conditioning,14,181 
Kingston,590,2,2,1,Air conditioning,15,521 
Belconnen,470,1,1,1,Balcony,10,325 
Ngunnawal,595,3,1,2,Air conditioning,10,906 
Fisher,580,3,1,2,nan,13,860 
City,nan,1,1,1,Energy Eff. Rating: 5,13,1098 
Lyons,620,3,1,1,Close to transport,14,557 
Greenway,600,2,2,2,Pets Allowed,13,989 
Curtin,495,2,1,0,nan,13,427 
O'Malley,1650,4,2,2,Energy Eff. Rating: 6,13,1043 
Barton,670,2,2,1,Energy Eff. Rating: 6,14,806 
Braddon,nan,2,2,1,Built in wardrobes,13,882 
Phillip,560,2,2,1,Air conditioning,14,409 
Braddon,nan,2,2,2,Ensuite(s),13,558 
Belconnen,480,2,1,1,nan,10,660 
Coombs,540,2,1,1,Pets Allowed,9,647 
Coombs,790,4,3,2,Built in wardrobes,9,662 
Banks,360,1,1,1,Air conditioning,6,1319 
Bruce,830,4,2,2,Secure Parking,12,692 
Kingston,750,3,2,2,nan,15,691 
Ngunnawal,620,3,2,2,Secure Parking,11,1100 
Lyneham,500,2,1,1,nan,13,196 
Kambah,630,3,1,1,nan,11,1275 
Bruce,445,1,1,1,Built in wardrobes,12,696 
Wright,450,1,1,1,Secure Parking,9,190 
